intDate,mediaType,offerCount,Score
2023-02-15,message,452,78.58
2023-02-15,callback,214,78.58
2023-02-16,callback,27,78.9
2023-02-16,voice,82,78.9
2023-02-16,message,178,78.9
2023-02-16,email,1206,78.9
2023-02-17,voice,391,77.82
2023-02-17,email,1580,77.82
2023-02-17,message,340,77.82
2023-02-17,callback,191,77.82
2023-02-20,callback,221,83.03
2023-02-20,voice,442,83.03
2023-02-20,message,438,83.03
2023-02-20,email,1574,83.03
2023-02-21,voice,408,82.41
2023-02-21,message,447,82.41
2023-02-21,email,1599,82.41
2023-02-21,callback,244,82.41
2023-02-22,message,409,83.75
2023-02-22,callback,198,83.75
2023-02-22,email,1609,83.75
2023-02-22,voice,415,83.75
2023-02-23,email,1904,81.58
2023-02-23,callback,195,81.58
2023-02-23,voice,441,81.58
2023-02-23,message,357,81.58
2023-02-24,email,1284,85.31
2023-02-24,message,243,85.31
2023-02-24,callback,98,85.31
2023-02-24,voice,404,85.31
2023-02-27,email,1365,91.61
2023-02-27,message,386,91.61
2023-02-27,voice,377,91.61
2023-02-27,callback,200,91.61
2023-02-28,email,1472,90.37
2023-02-28,voice,407,90.37
2023-02-28,message,382,90.37
2023-02-28,callback,214,90.37
2023-03-01,email,1507,90.13
2023-03-01,voice,381,90.13
2023-03-01,callback,146,90.13
2023-03-01,message,381,90.13
2023-03-02,callback,136,86.78
2023-03-02,message,319,86.78
2023-03-02,voice,498,86.78
2023-03-02,email,1554,86.78
2023-03-03,voice,468,84.98
2023-03-03,callback,106,84.98
2023-03-03,email,1643,84.98
2023-03-03,message,271,84.98
2023-03-06,voice,383,87.04
2023-03-06,email,1431,87.04
2023-03-06,message,327,87.04
2023-03-06,callback,172,87.04
2023-03-07,message,433,86.23
2023-03-07,email,1476,86.23
2023-03-07,callback,237,86.23
2023-03-07,voice,417,86.23
2023-03-08,message,337,87.52
2023-03-08,voice,515,87.52
2023-03-08,callback,107,87.52
2023-03-08,email,1601,87.52
2023-03-09,voice,455,88.52
2023-03-09,callback,174,88.52
2023-03-09,email,1665,88.52
2023-03-09,message,395,88.52
2023-03-10,email,1189,89.11
2023-03-10,callback,41,89.11
2023-03-10,message,209,89.11
2023-03-10,voice,424,89.11
2023-03-13,voice,391,92.12
2023-03-13,email,1516,92.12
2023-03-13,callback,27,92.12
2023-03-13,message,217,92.12
2023-03-14,email,1489,92.49
2023-03-14,voice,559,92.49
2023-03-14,callback,75,92.49
2023-03-14,message,279,92.49
2023-03-15,voice,562,87.04
2023-03-15,callback,44,87.04
2023-03-15,email,1621,87.04
2023-03-15,message,270,87.04
2023-03-16,message,295,92
2023-03-16,email,1493,92
2023-03-16,voice,410,92
2023-03-16,callback,107,92
2023-03-17,callback,20,93.21
2023-03-17,message,173,93.21
2023-03-17,email,1317,93.21
2023-03-17,voice,434,93.21
2023-03-20,message,281,92.83
2023-03-20,callback,58,92.83
2023-03-20,email,1433,92.83
2023-03-20,voice,412,92.83
2023-03-21,email,1512,93.64
2023-03-21,voice,415,93.64
2023-03-21,callback,70,93.64
2023-03-21,message,269,93.64
2023-03-22,voice,551,90.96
2023-03-22,email,1528,90.96
2023-03-22,message,211,90.96
2023-03-22,callback,23,90.96
2023-03-23,email,1708,93.26
2023-03-23,voice,471,93.26
2023-03-23,message,205,93.26
2023-03-23,callback,30,93.26
2023-03-24,message,114,93.81
2023-03-24,email,1455,93.81
2023-03-24,voice,450,93.81
2023-03-24,callback,3,93.81
2023-03-27,email,1807,92.92
2023-03-27,voice,451,92.92
2023-03-27,message,183,92.92
2023-03-27,callback,26,92.92
2023-03-28,message,180,93.7
2023-03-28,email,1789,93.7
2023-03-28,voice,443,93.7
2023-03-28,callback,63,93.7
2023-03-29,callback,11,93.44
2023-03-29,email,1753,93.44
2023-03-29,message,134,93.44
2023-03-29,voice,466,93.44
2023-03-30,message,146,93.71
2023-03-30,voice,499,93.71
2023-03-30,callback,10,93.71
2023-03-30,email,1801,93.71
2023-03-31,voice,358,92.98
2023-03-31,email,1617,92.98
2023-03-31,message,114,92.98
2023-03-31,callback,32,92.98
2023-04-03,email,1703,94.73
2023-04-03,voice,437,94.73
2023-04-03,callback,18,94.73
2023-04-03,message,140,94.73
2023-04-04,email,1785,89.27
2023-04-04,voice,484,89.27
2023-04-04,message,105,89.27
2023-04-04,callback,10,89.27
2023-04-05,callback,27,87.04
2023-04-05,email,1726,87.04
2023-04-05,voice,434,87.04
2023-04-05,message,167,87.04
2023-04-06,callback,17,88.18
2023-04-06,email,1520,88.18
2023-04-06,voice,368,88.18
2023-04-06,message,129,88.18
2023-04-11,callback,6,89.18
2023-04-11,message,112,89.18
2023-04-11,voice,374,89.18
2023-04-11,email,1577,89.18
2023-04-12,message,151,88.67
2023-04-12,callback,32,88.67
2023-04-12,email,1495,88.67
2023-04-12,voice,372,88.67
2023-04-13,message,119,93.33
2023-04-13,callback,25,93.33
2023-04-13,email,1702,93.33
2023-04-13,voice,409,93.33
2023-04-14,email,1651,93.25
2023-04-14,message,85,93.25
2023-04-14,callback,5,93.25
2023-04-14,voice,360,93.25
2023-04-17,voice,393,93.96
2023-04-17,message,140,93.96
2023-04-17,callback,5,93.96
2023-04-17,email,1712,93.96
2023-04-18,email,1548,94.22
2023-04-18,callback,34,94.22
2023-04-18,message,161,94.22
2023-04-18,voice,449,94.22
2023-04-19,message,147,93.75
2023-04-19,voice,423,93.75
2023-04-19,email,1675,93.75
2023-04-19,callback,4,93.75
2023-04-20,message,113,91.94
2023-04-20,voice,402,91.94
2023-04-20,email,1728,91.94
2023-04-20,callback,19,91.94
2023-04-21,callback,28,93.86
2023-04-21,message,111,93.86
2023-04-21,email,1605,93.86
2023-04-21,voice,353,93.86
2023-04-24,message,117,90.67
2023-04-24,voice,335,90.67
2023-04-24,callback,18,90.67
2023-04-24,email,1415,90.67
2023-04-26,callback,46,86.54
2023-04-26,message,172,86.54
2023-04-26,voice,460,86.54
2023-04-26,email,1915,86.54
2023-04-27,callback,23,92.5
2023-04-27,message,145,92.5
2023-04-27,voice,476,92.5
2023-04-27,email,1644,92.5
2023-04-28,voice,400,94.07
2023-04-28,message,113,94.07
2023-04-28,email,1802,94.07
2023-04-28,callback,23,94.07
2023-05-01,voice,321,91.11
2023-05-01,email,1722,91.11
2023-05-01,message,106,91.11
2023-05-01,callback,8,91.11
2023-05-02,message,151,85.39
2023-05-02,callback,54,85.39
2023-05-02,voice,417,85.39
2023-05-02,email,1805,85.39
2023-05-03,callback,53,81.94
2023-05-03,email,1782,81.94
2023-05-03,message,155,81.94
2023-05-03,voice,547,81.94
2023-05-04,voice,499,81.25
2023-05-04,callback,29,81.25
2023-05-04,message,130,81.25
2023-05-04,email,1937,81.25
2023-05-05,voice,441,84.39
2023-05-05,email,1574,84.39
2023-05-05,message,104,84.39
2023-05-05,callback,8,84.39
2023-05-08,voice,411,88.62
2023-05-08,message,165,88.62
2023-05-08,email,1657,88.62
2023-05-08,callback,28,88.62
2023-05-09,email,630,88.24
2023-05-09,message,14,88.24
2023-05-10,email,1652,89.96
2023-05-10,message,141,89.96
2023-05-10,voice,498,89.96
2023-05-10,callback,34,89.96
2023-05-11,email,1677,90.92
2023-05-11,callback,55,90.92
2023-05-11,voice,435,90.92
2023-05-11,message,128,90.92
2023-05-12,email,1315,92.75
2023-05-12,message,89,92.75
2023-05-12,voice,330,92.75
2023-05-12,callback,15,92.75
2023-05-15,message,131,92.99
2023-05-15,voice,427,92.99
2023-05-15,callback,15,92.99
2023-05-15,email,1666,92.99
2023-05-16,message,139,91.08
2023-05-16,email,1708,91.08
2023-05-16,voice,435,91.08
2023-05-16,callback,33,91.08
2023-05-17,voice,417,93.8
2023-05-17,email,1044,93.8
2023-05-17,callback,49,93.8
2023-05-17,message,142,93.8
2023-05-18,message,156,93.68
2023-05-18,voice,424,93.68
2023-05-18,callback,48,93.68
2023-05-18,email,94,93.68
2023-05-19,message,91,93.25
2023-05-19,callback,8,93.25
2023-05-19,email,291,93.25
2023-05-19,voice,332,93.25
2023-05-22,callback,52,93.57
2023-05-22,email,1740,93.57
2023-05-22,voice,419,93.57
2023-05-22,message,159,93.57
2023-05-23,callback,62,93.45
2023-05-23,voice,384,93.45
2023-05-23,email,1694,93.45
2023-05-23,message,152,93.45
2023-05-24,callback,36,93.98
2023-05-24,email,1722,93.98
2023-05-24,message,165,93.98
2023-05-24,voice,433,93.98
2023-05-25,email,1466,93.59
2023-05-25,voice,367,93.59
2023-05-25,callback,64,93.59
2023-05-25,message,174,93.59
2023-05-26,email,1349,94.18
2023-05-26,message,114,94.18
2023-05-26,voice,319,94.18
2023-05-26,callback,19,94.18
2023-05-29,email,1538,93.75
2023-05-29,callback,53,93.75
2023-05-29,voice,213,93.75
2023-05-29,message,181,93.75
2023-05-30,callback,40,88.75
2023-05-30,message,203,88.75
2023-05-30,email,1633,88.75
2023-05-30,voice,443,88.75
2023-05-31,callback,25,93.18
2023-05-31,message,166,93.18
2023-05-31,voice,457,93.18
2023-05-31,email,1593,93.18
2023-06-01,message,162,95.1
2023-06-01,callback,25,95.1
2023-06-01,email,1522,95.1
2023-06-01,voice,434,95.1
2023-06-02,voice,339,93.14
2023-06-02,message,137,93.14
