intDate,offerCount,Score
2023-10-26,1811,95.6
2023-10-27,1510,96.1
2023-10-30,1578,95.91
2023-10-31,1962,95
2023-11-01,1828,95.6
2023-11-02,1636,94.63
2023-11-03,1351,90.22
2023-11-06,1495,94.8
2023-11-07,1587,94.53
2023-11-08,1868,94.92
2023-11-09,1736,93.88
2023-11-10,1490,93.53
2023-11-13,1866,93.27
2023-11-14,1988,92.66
2023-11-15,1999,93.37
2023-11-16,1842,94.37
2023-11-17,1561,95.59
2023-11-20,1856,96.01
